erk,R,P,C,label
0.05,3.979194547,6.061468033,0.07416365141,stable
0.05120907996,3.979015509,6.05170299,0.07593848074,stable
0.05260477594,3.978807069,6.040475114,0.07798626021,stable
0.05421680914,3.978563938,6.027565623,0.08035014402,stable
0.05607993488,3.978279724,6.012723139,0.0830804953,stable
0.05823489352,3.97794664,5.995658877,0.08623621674,stable
0.06072957266,3.977555134,5.976041137,0.08988636758,stable
0.06362043776,3.977093382,5.953489021,0.09411214147,stable
0.06697430667,3.97654661,5.927565253,0.09900930274,stable
0.07087056989,3.975896151,5.897768014,0.1046912105,stable
0.0754039942,3.975118133,5.863521668,0.111292603,stable
0.08062836561,3.974192409,5.824609286,0.1188873273,stable
0.08592818712,3.973220377,5.785727058,0.126577837,stable
0.09130491369,3.972199135,5.746876038,0.1343657064,stable
0.09676006205,3.971125559,5.708057333,0.1422525277,stable
0.1022952154,3.969996287,5.669272107,0.1502399105,stable
0.1079120285,3.968807693,5.630521583,0.1583294794,stable
0.113612233,3.967555864,5.591807054,0.1665228724,stable
0.1193976431,3.966236571,5.553129883,0.1748217385,stable
0.1252701618,3.964845243,5.514491515,0.1832277352,stable
0.1312317865,3.963376928,5.475893478,0.1917425246,stable
0.1372846161,3.961826261,5.437337399,0.2003677708,stable
0.1434308573,3.960187418,5.398825008,0.2091051345,stable
0.1496728316,3.958454071,5.36035815,0.2179562687,stable
0.1560129822,3.956619337,5.321938801,0.2269228127,stable
0.1624538808,3.954675719,5.283569077,0.2360063852,stable
0.1689982343,3.952615042,5.245251258,0.2452085764,stable
0.1756488916,3.950428379,5.206987799,0.2545309387,stable
0.182408849,3.948105969,5.16878136,0.2639749762,stable
0.189281256,3.945637126,5.130634827,0.2735421315,stable
0.196269419,3.943010139,5.092551345,0.2832337713,stable
0.203376804,3.940212152,5.054534356,0.2930511686,stable
0.2106070376,3.937229037,5.016587635,0.3029954825,stable
0.2179639047,3.934045247,4.97871535,0.3130677332,stable
0.2254513433,3.930643658,4.940922111,0.3232687732,stable
0.2330734343,3.927005382,4.903213049,0.3335992534,stable
0.2408343866,3.923109566,4.865593898,0.3440595811,stable
0.2487385138,3.918933169,4.828071092,0.3546498717,stable
0.2567902023,3.914450707,4.790651893,0.3653698891,stable
0.2649938678,3.909633984,4.753344531,0.3762189757,stable
0.2733538965,3.904451794,4.716158376,0.3871959667,stable
0.2818745686,3.898869595,4.679104153,0.3982990882,stable
0.2905599587,3.892849178,4.642194183,0.4095258344,stable
0.2994138077,3.886348312,4.605442683,0.4208728197,stable
0.3084393603,3.8793204,4.568866117,0.4323356024,stable
0.3176391608,3.87171416,4.532483608,0.4439084746,stable
0.3270147991,3.863473345,4.496317418,0.4555842149,stable
0.3365665993,3.854536575,4.460393494,0.4673538003,stable
0.3462932438,3.8448373,4.424742078,0.4792060761,stable
0.3561913294,3.834304004,4.389398364,0.4911273883,stable
0.3662548563,3.822860714,4.354403168,0.5031011895,stable
0.3764746615,3.810427945,4.319803547,0.5151076373,stable
0.3868378236,3.796924174,4.285653292,0.5271232241,stable
0.397327084,3.782267973,4.252013155,0.5391204911,stable
0.4079203568,3.766380834,4.218950654,0.5510678994,stable
0.4185904238,3.749190686,4.186539277,0.5629299494,stable
0.4293049278,3.730635936,4.1548569,0.5746676408,stable
0.4400267786,3.710669719,4.123983331,0.586239347,stable
0.4507150505,3.689263874,4.093996978,0.5976021301,stable
0.4613263824,3.666412053,4.064970863,0.6087134426,stable
0.4718167924,3.642131383,4.036968379,0.6195330657,stable
0.482143716,3.61646229,4.010039352,0.6300250541,stable
0.4922680052,3.589466399,3.984216971,0.6401594203,stable
0.5021556183,3.561222804,3.959516057,0.6499133254,stable
0.5117787947,3.531823279,3.935932836,0.6592716386,stable
0.5211166154,3.501367136,3.913446144,0.668226851,stable
0.5301549739,3.469956391,3.892019707,0.6767784449,stable
0.5388860715,3.437691699,3.871605072,0.6849318861,stable
0.5473075964,3.404669287,3.852144719,0.6926974279,stable
0.5554217473,3.37097891,3.833575023,0.7000888869,stable
0.5632342322,3.336702716,3.815828819,0.7071225102,stable
0.5707533343,3.301914824,3.798837485,0.7138159985,stable
0.5779890956,3.266681427,3.782532504,0.7201877141,stable
0.5849526389,3.231061228,3.766846567,0.726256069,stable
0.591655627,3.195106077,3.751714281,0.7320390761,stable
0.5981098463,3.158861705,3.737072556,0.7375540356,stable
0.604326896,3.122368477,3.722860761,0.7428173285,stable
0.6103179633,3.085662124,3.709020696,0.747844294,stable
0.6160936667,3.048774432,3.695496452,0.7526491658,stable
0.6216639497,3.011733876,3.682234181,0.7572450527,stable
0.6270380138,2.974566196,3.669181818,0.7616439474,stable
0.6322242785,2.937294909,3.656288781,0.7658567547,stable
0.6372303604,2.899941787,3.64350565,0.7698933307,stable
0.6420630661,2.862527276,3.630783858,0.7737625281,stable
0.6467283922,2.825070892,3.618075382,0.7774722434,stable
0.6512315316,2.78759158,3.605332464,0.781029463,stable
0.6555768816,2.750108063,3.592507343,0.7844403081,stable
0.6597680532,2.71263916,3.579552027,0.7877100764,stable
0.6638078816,2.675204109,3.566418107,0.7908432799,stable
0.6676984366,2.637822869,3.553056603,0.7938436806,stable
0.6714410329,2.600516427,3.539417886,0.7967143234,stable
0.6750362435,2.563307085,3.525451648,0.799457567,stable
0.6784839153,2.526218748,3.511106966,0.8020751148,stable
0.6817831889,2.489277183,3.49633245,0.8045680471,stable
0.6849325269,2.452510263,3.481076497,0.8069368553,stable
0.6879297504,2.415948151,3.465287665,0.8091814816,stable
0.6907720891,2.379623444,3.448915176,0.8113013647,stable
